,time,activity,percent_0,percent_1,percent_2,percent_3
0,0,sleep,0.3737214008470547,0.39123458028282015,0.3975942261427426,0.4035249607825044
1,0,socializing,0.01976654329523732,0.018867364798718443,0.019577051926298158,0.018176263937681382
2,0,eating,0.0028699081501556397,0.0022933996734820802,0.0015237338103282652,0.001719091204757701
3,0,household,0.0031529377802235474,0.003067187996518327,0.0036133062918152783,0.0034093257111371305
4,0,shopping,0.0011308850663650973,0.0008080070896105927,0.0005164400068858667,0.0006084945843981989
5,0,family,0.004264297282439118,0.003302602951994866,0.002421307506053269,0.00238991456055446
6,0,work,0.025829768891541496,0.01907412185323062,0.0166358595194085,0.013736263736263736
7,0,education,0.019671786240269305,0.014682911590128085,0.020117762512266928,0.012202562538133009
8,0,sports,0.00973803319160609,0.006520405032218472,0.0035898586493156833,0.0034777956126270733
9,0,entertainment,0.030410076668305076,0.027390783327491054,0.025707865168539325,0.024971118812761043
10,5,sleep,0.37654123033030706,0.3945350607671338,0.4001924619085806,0.4068930515825413
11,5,socializing,0.0198478870948062,0.0185410424515708,0.019472361809045227,0.01832900565144341
12,5,eating,0.002710113709723811,0.0022545284925756044,0.0014574845142270364,0.0015797054313989685
13,5,household,0.0029364270313669946,0.002846129402174664,0.0032869431428771243,0.003064949376678835
14,5,shopping,0.0012300855107830883,0.0008340718344367409,0.0007746600103288001,0.00024339783375927954
15,5,family,0.003803693743220956,0.0029426035780807337,0.0022867904223836427,0.0024496624245683215
16,5,work,0.025647402102191717,0.01874239799491357,0.016512630930375846,0.013135302197802198
17,5,education,0.01914580265095729,0.01499531396438613,0.01815505397448479,0.013422818791946308
18,5,sports,0.00973803319160609,0.006597115679656336,0.003365492483733453,0.0034777956126270733
19,5,entertainment,0.030139050305249184,0.026803837970473386,0.025228464419475655,0.023993601706211676
20,10,sleep,0.3791233094845794,0.3968417501663916,0.4029190056134723,0.40938451600996584
21,10,socializing,0.0197462073453451,0.01821472010442315,0.019472361809045227,0.01756529708263327
22,10,eating,0.0027165054873410843,0.0021865039259892716,0.0013249859220245785,0.0018584769781164335
23,10,household,0.0026297034704868784,0.002645795051050719,0.0033335664498682894,0.002961636476341346
24,10,shopping,0.001011844533063508,0.0007558775999582964,0.0007746600103288001,0.0004867956675185591
25,10,family,0.0038334101005898695,0.0027391256710857896,0.002062595282934266,0.0022106709685128755
26,10,work,0.02571371729831891,0.018687110685194058,0.0166358595194085,0.013135302197802198
27,10,education,0.01925099936881969,0.015307716338644174,0.01717369970559372,0.013422818791946308
28,10,sports,0.009600877794541215,0.006443694384780607,0.0029167601525689926,0.003745318352059925
29,10,entertainment,0.029615372247819155,0.026379932990405072,0.024838951310861425,0.023593708344441484
30,15,sleep,0.3822251219161571,0.39993253161440906,0.4063512429831596,0.41266033034972777
31,15,socializing,0.019278480497824053,0.017532409742205345,0.019367671691792293,0.016190621658775012
32,15,eating,0.0024800097155019784,0.0020310192023633676,0.001291861273973964,0.0018584769781164335
33,15,household,0.002359065034416188,0.0022796667541690268,0.0031004499149124647,0.0028927612094496865
34,15,shopping,0.0009126440886455171,0.000521294896522963,0.0006885866758478223,0.0003650967506389193
35,15,family,0.003610537420323017,0.0026452127909342765,0.002197112366603892,0.0020314273764712914
36,15,work,0.02624423886733645,0.01866868158195422,0.016327788046826865,0.01253434065934066
37,15,education,0.019040605933094888,0.015307716338644174,0.015701668302257114,0.014032946918852958
38,15,sports,0.009532300096008778,0.006366983737342743,0.003141126318151223,0.003745318352059925
39,15,entertainment,0.028797699491481043,0.025475058898336175,0.02388014981273408,0.022171865280369678
40,20,sleep,0.3840828919286528,0.40196570053154146,0.4086607858861267,0.4148749653963274
41,20,socializing,0.0190141131492252,0.017443412738437806,0.019158291457286432,0.016037879945012982
42,20,eating,0.0023905248288601543,0.0018560988882842262,0.0012587366259233495,0.0014867815824931468
43,20,household,0.0023320011908091187,0.0021484132137774767,0.0027274634589831456,0.002858323576003857
44,20,shopping,0.0009126440886455171,0.0004952301516968149,0.0006025133413668446,0.00024339783375927954
45,20,family,0.0033579483826872503,0.0024260827372474133,0.0016142050040355124,0.0019119316484435681
46,20,work,0.026376869259590836,0.018594965168994875,0.01614294516327788,0.01253434065934066
47,20,education,0.01830422890805807,0.01499531396438613,0.01521099116781158,0.01464307504575961
48,20,sports,0.009257989301879028,0.005983430500153421,0.003141126318151223,0.0034777956126270733
49,20,entertainment,0.028434799785016375,0.02531201852138682,0.023790262172284644,0.021460943748333777
50,25,sleep,0.38528823080580776,0.4032147773999143,0.4103287890938252,0.41621297407031466
51,25,socializing,0.01877008175051857,0.01756207541012786,0.018844221105527637,0.015885138231250956
52,25,eating,0.0022499057212801454,0.0017783565264712742,0.0012587366259233495,0.0015332435069460577
53,25,household,0.0022688522223926243,0.002058608159825364,0.0025642818845140686,0.0026172601418830497
54,25,shopping,0.0007936035553439279,0.0004952301516968149,0.0006025133413668446,0.00024339783375927954
55,25,family,0.003179650238473768,0.002394778443863576,0.0014796879203658865,0.001672940192388122
56,25,work,0.026476342053781625,0.018539677859275367,0.016019716574245224,0.012620192307692308
57,25,education,0.017988638754470862,0.01499531396438613,0.014720314033366046,0.013422818791946308
58,25,sports,0.009326567000411467,0.005830009205277692,0.0029167601525689926,0.0034777956126270733
59,25,entertainment,0.02834752010877804,0.025263106408302018,0.023340823970037453,0.020972185195059095
60,30,sleep,0.39226039743008484,0.4107821774053847,0.41793103448275865,0.42313370859093846
61,30,socializing,0.016248423963883353,0.01521848764424931,0.016017587939698492,0.012983045669772415
62,30,eating,0.0020198017270583123,0.0015062582601259426,0.0011262380337208916,0.0011150861868698602
63,30,household,0.002241788378785555,0.0019066303762140953,0.0021912954285847495,0.0021351332736414355
64,30,shopping,0.0008134436442275261,0.0004952301516968149,0.0005164400068858667,0.00012169891687963977
65,30,family,0.0033282320253183364,0.0029112992846968963,0.0017487220877051386,0.0012547051442910915
66,30,work,0.024835040949633607,0.016844200361210423,0.014849044978434997,0.011246565934065934
67,30,education,0.015463917525773196,0.012496094970321775,0.011776251226692836,0.012202562538133009
68,30,sports,0.008297901522424907,0.005676587910401964,0.0026923939869867622,0.0032102728731942215
69,30,entertainment,0.023753852938339204,0.019890925987820884,0.018247191011235956,0.01781747089664978
70,35,sleep,0.39375324833298314,0.41260564728622096,0.41947072975140337,0.42484082310602567
71,35,socializing,0.016167080164314476,0.015188821976326797,0.016226968174204354,0.013135787383534443
72,35,eating,0.0019878428389719467,0.0014187981030863717,0.0009937394415184338,0.0010686242624169493
73,35,household,0.00215608620736317,0.00171320410616339,0.00200480220062009,0.0020318203733039465
74,35,shopping,0.0007936035553439279,0.000521294896522963,0.000430366672404889,0.0
75,35,family,0.0030162102729447424,0.0025199956173989264,0.0013900098645861358,0.0010754615522495072
76,35,work,0.024768725753506415,0.016881058567690097,0.014849044978434997,0.011332417582417582
77,35,education,0.015569114243635598,0.012027491408934709,0.011285574092247301,0.012202562538133009
78,35,sports,0.00802359072829516,0.005523166615526235,0.0026923939869867622,0.0034777956126270733
79,35,entertainment,0.023689541597953064,0.019695277535481663,0.018217228464419477,0.017462010130631832
80,40,sleep,0.3951686921520275,0.4144291171670572,0.42097834803528467,0.42654793762111287
