,time,activity,percent_0,percent_1,percent_2,percent_3
0,0,sleep,0.03417620767770771,0.03121680632597663,0.026059979317476733,0.023287941582790607
1,0,socializing,0.005326639319169779,0.005429009795822023,0.00579110651499483,0.004736530491415038
2,0,eating,0.0010530827159737953,0.0007081317124985248,0.0003447087211306446,0.0002960331557134399
3,0,household,0.0010408375681136349,0.0010818678940949682,0.0012409513960703205,0.0008880994671403197
4,0,shopping,0.00035510928794465195,0.00023604390416617492,0.0003447087211306446,9.867771857114664e-05
5,0,family,0.0005510316537072186,0.00045241748298516856,0.00020682523267838676,0.00019735543714229328
6,0,work,0.004028653645992775,0.00458318580589323,0.003584970699758704,0.002960331557134399
7,0,education,0.0005755219494275394,0.0003737361815964436,0.0006204756980351603,0.00019735543714229328
8,0,sports,0.0012612502295965224,0.0010621975687477871,0.0007583591864874182,0.0009867771857114663
9,0,entertainment,0.011681871058593033,0.011526810653448207,0.011995863495346433,0.010755871324254982
10,5,sleep,0.034298659156309315,0.03127581730201818,0.02619786280592899,0.023485297019932898
11,5,socializing,0.005326639319169779,0.005310987843738935,0.005653223026542572,0.004835208209986185
12,5,eating,0.0010285924202534746,0.0007868130138872497,0.0003447087211306446,0.0002960331557134399
13,5,household,0.0009673666809526725,0.0010031865927062433,0.0013788348845225785,0.0006907440299980265
14,5,shopping,0.0003428641400844915,0.0002950548802077186,0.0003447087211306446,0.0
15,5,family,0.0005020510622665769,0.0004130768322908061,0.00027576697690451566,0.00019735543714229328
16,5,work,0.004028653645992775,0.004524174829851685,0.003516028955532575,0.002960331557134399
17,5,education,0.0005387865058470581,0.00039340650694362484,0.00048259220958290247,0.0002960331557134399
18,5,sports,0.0012367599338762014,0.0010425272434006058,0.0007583591864874182,0.0009867771857114663
19,5,entertainment,0.011424722953529663,0.011310437074629214,0.011926921751120303,0.010065127294256957
20,10,sleep,0.034396620339190595,0.03131515795271254,0.02626680455015512,0.023682652457075192
21,10,socializing,0.005338884467029939,0.005271647193044573,0.005584281282316443,0.004440497335701598
22,10,eating,0.0009673666809526725,0.0007081317124985248,0.0004136504653567735,0.0005920663114268798
23,10,household,0.0008449152023510684,0.0009835162673590622,0.0013788348845225785,0.0006907440299980265
24,10,shopping,0.00026939325292352906,0.00023604390416617492,0.0004136504653567735,0.0
25,10,family,0.0005020510622665769,0.0004130768322908061,0.00027576697690451566,9.867771857114664e-05
26,10,work,0.004028653645992775,0.004465163853810142,0.003516028955532575,0.0028616538385632523
27,10,education,0.0005142962101267373,0.00043274715763798734,0.00048259220958290247,0.0002960331557134399
28,10,sports,0.0012122696381558808,0.0010228569180534247,0.0006204756980351603,0.001085454904282613
29,10,entertainment,0.011106349109165492,0.01123175577324049,0.011651154774215787,0.009769094138543518
30,15,sleep,0.03444560093063124,0.03141350957944845,0.02633574629438125,0.023880007894217486
31,15,socializing,0.005167452396987694,0.005173295566308667,0.005584281282316443,0.004243141898559306
32,15,eating,0.0010163472723933142,0.0006884613871513434,0.0003447087211306446,0.0006907440299980265
33,15,household,0.0007714443151901059,0.0008851646406231559,0.0012409513960703205,0.0008880994671403197
34,15,shopping,0.00028163840078368946,0.00019670325347181242,0.0003447087211306446,9.867771857114664e-05
35,15,family,0.000477560766546256,0.00047208780833234983,0.0004136504653567735,0.0002960331557134399
36,15,work,0.003979673054552134,0.004347141901727055,0.003378145467080317,0.0025656206828498125
37,15,education,0.000477560766546256,0.00045241748298516856,0.0004136504653567735,0.0002960331557134399
38,15,sports,0.0012245147860160412,0.0010031865927062433,0.0007583591864874182,0.001085454904282613
39,15,entertainment,0.010775730116941162,0.01075966796490814,0.011444329541537401,0.008880994671403197
40,20,sleep,0.03453131696565236,0.03147252055548999,0.02633574629438125,0.023978685612788632
41,20,socializing,0.005118471805547052,0.0051339549156143045,0.005515339538090314,0.004243141898559306
42,20,eating,0.0010285924202534746,0.0006294504111097998,0.00027576697690451566,0.0004933885928557331
43,20,household,0.0007836894630502664,0.0007868130138872497,0.001034126163391934,0.0008880994671403197
44,20,shopping,0.00026939325292352906,0.0001770329281246312,0.0003447087211306446,0.0
45,20,family,0.0004285801751056144,0.00045241748298516856,0.00027576697690451566,0.0002960331557134399
46,20,work,0.003991918202412294,0.004268460600338329,0.003378145467080317,0.0025656206828498125
47,20,education,0.0004653156186860956,0.0004130768322908061,0.00048259220958290247,0.0002960331557134399
48,20,sports,0.0011877793424355599,0.0009638459420118809,0.0007583591864874182,0.0009867771857114663
49,20,entertainment,0.010579807751178595,0.010503953735394783,0.011030679076180628,0.008683639234260904
50,25,sleep,0.034580297557093,0.031551201856878715,0.026473629782833505,0.024077363331359777
51,25,socializing,0.005045000918386089,0.005173295566308667,0.005584281282316443,0.004243141898559306
52,25,eating,0.0009796118288128328,0.000649120736456981,0.00027576697690451566,0.0004933885928557331
53,25,household,0.0007714443151901059,0.0006884613871513434,0.001034126163391934,0.0006907440299980265
54,25,shopping,0.000208167513622727,0.0001770329281246312,0.00027576697690451566,0.0
55,25,family,0.000416335027245454,0.00047208780833234983,0.00027576697690451566,0.00019735543714229328
56,25,work,0.003991918202412294,0.004307801251032692,0.003378145467080317,0.0025656206828498125
57,25,education,0.000477560766546256,0.0004130768322908061,0.00048259220958290247,0.00019735543714229328
58,25,sports,0.0011877793424355599,0.0009441756166646997,0.0006894174422612892,0.0009867771857114663
59,25,entertainment,0.01044511112471683,0.010405602108658877,0.01089279558772837,0.008288928359976317
60,30,sleep,0.03486193595787669,0.031767575435697706,0.026542571527059633,0.02427471876850207
